,repl,TF
3304,촌놈,1
3305,이걸로는 떡밥이 약해~~~~~,0
3306,요즘 나비탕 잘 안팔리노 각자 개성에 맞게 키우면 되지 뭘그리 홍보질인데 무슨 아이돌빠순년인줄 알았네 ㅋㅋㅋㅋㅋㅋㅋㅋ,1
3307,저때는 개인회생 제도가 없었음.,0
3308,아 이새끼 말귀를 못 알아쳐먹네.....수학이 허접이라는게 아니라 한번배운 단순입시수학으로 밥벌어먹는 강사가 병신이라고,1
3309,당연한거 아니냐 저기 노하우 자체가 직원 몇명뽑으면 복제가능한 업종이라 저렇게 안하면 회사 망한다,0
3310,와...아이디어 좋다...,0
3311,이런곳이 많아야 되는데  이런곳이 너무 적어 문제네...,0
3312,보기힘든 차라 찍어서 올린겁니다,0
3313,중하위권은 일본애들 많이 꼽아주고 좁밥 좀 많았음,1
3314,남자들은 씨를 말려야해!!! 라고 페미들이 말하는거랑 같은논리!!,1
3315,415이후엔 당분간 안보이겠군,0
3316,누군가는 똥을 쳐야하고 내가 치기싫으니까 똥치는 사람 배려해주자 하면 될걸 존나 어렵게 써놓았노 전국의 분뇨관련 종사자들이 들고 일어나면 온국토가 똥바다 되는거지,1
3317,용접보지라고 부르자,1
3318,착오로 송부? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ갈데까지 갔구나 씹재앙 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
3319,기본에 충실하면 ,0
3320,뿌렸고 그걸 보고도 즐긴 놈들입니다,0
3321,좆까 는,1
3322,돈 많이 들어가는 병 나면 큰 의료비가 나가지,0
3323,그래서 경찰부부는 바람 많이 난다,0
3324,역삼도 원룸사는 창녀들 존나 많다 ㅋㅋ,1
3325,나 예전에 들은 이야긴데 30살먹은 주노 헤어 디자이너가 자기 월 천 넘게 번다는데 사실임?  믿기지가 않던데 물론 청담쪽이긴 했지만,0
3326,집세 및 생활비로 나가는돈 떼면  남는게 없음,0
3327,"내가 도요다 RAV4, 혼다 파일럿 키아 텔류 현대 저거 이렇게 시승해봤는데펠리가 잴 딸림",0
3328,저것도 통계마사지 한거라서  실상 더 나쁘겠지    ,0
3329,야설,1
3330,하긴 한녀가 그렇겠노,1
3331,세키,1
3332,그렇지 조폭다구리는 협동형 스포츠임,1
3333,근데 밈이 먼뜻임,0
3334,씹할,1
3335,유교성리학 사회문화가 아직까지 남아있어서 그래 이게 뭔지 알잖아?,0
3336,응 평생 문 열지마라.. 써글놈들..,1
3337,동의완료!!,0
3338,이제 눈치 챘구나.,0
3339,버리고 갔네 ㅅㅂ... 간혹 산에 노견들 버리고 감 ,1
3340,나도 75인치 사려고...요새 플스하는데 화면 좆만해보여서,1
3341,농어촌이면서 공부 되게 잘했던거처럼 방송에서 말하더만;;,0
3342,미틴뇬,1
3343,"인프라 쪽으로 가면 더 심각해지방이 베트남보다 전기,수도 보급률 낮고 태국보다 PC보급률이 낮음.아직 가스가 전혀 보급안된 지자체가 33곳인데, 전부 지방임.경북 사람의 10%는 아직 집에 전기도 보급되지않았다는 통계결과도잇음",0
3344,명도가 머임?,0
3345,"응 정신승리 백날해봐야 용접공들은 신분상승안돼 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 돈많이버는게 장땡이라고? 백날 돈 처벌어봐라 , 허드렛 좆가다 몸병신되서 만날 수 있는 보지의 카테고리가 어디까지가 한계인지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",1
3346,개씹,1
3347,애시당초 아무나 음식다먹는데 저걸 가지고 빠는새기들이 개특이한거임 노력안해도 돈을 쓸어 담앗으니 문화가 진짜 미개한 나라임 .힘들게 땀흘려 돈버는사람들 기만하는거지 .. 에혀 ,1
3348,따뜻한거지 편하기는병신아,1
3349,호로,1
3350,뭔개소리야 진짜 한국인 자체가 병신이라니까 남자든 여자든 틀린걸 개선시켜려는게 목적이 아니라 그걸 빌미삼아서 인격비하하고 우위에 서려는게 종특인데,1
3351,와..,0
3352,비밀번호현관 의미1도없다 ㅋㅋㅋㅋ 남 지나갈때 따라들어가마ㅓㄴ끝,0
3353, 시스템을 짜야한다는 건 누구라도 알고 있는 뻔한 답에 지나지 않는데도 저 개새끼가 꾸역꾸역 반복하는 것은 다음 명제를 위한거다.,1
3354,게기판 옵션 넣으라는거지...,0
3355,백두산도 질 수 없뜸 터져라,0
3356,췩 췩!이건  입에서 나오는 소리가 아니다,0
3357,이새끼,1
3358,안타깝네.,0
3359,추진중임 ㅋㅋ,0
3360,좀 있으면 들개들 3마리 몰려와서 레이드 시작함ㅅㄱ,0
3361,저분 젓가락질과 크게한입이  저짤을 살린겁니다 ㅎㅎ,0
3362,이게 유명한사기냐 별 거지같은놈들도 다있노50만원짜리 벽돌이노,1
3363,아니 국내랑 꼭 똑같이 팔아야되는 이유가 있나요??,0
3364,목사들이 신도들 돈 걷어서 계좌이체해줌,0
3365,병신 홍어새끼야 일베는 박정희 가카같은 똑똑한 독재를 지향하지 씨발 지 꼴리는데로 북한 중국 독재 ㅇㅈㄹ 하고 있네 븅신 ㅋㅋㅋㅋㅋㅋㅋㅋ,1
3366,아 약값많이든다고 저기 써있잖아 병신아,1
3367,9편에서는 거의안나옴 그나마다행,0
3368,지X,1
3369,보잘알 ㅇㅈ ㅋ,1
3370,결혼안하면 돈아껴서퇴직후 남은생 놀고먹기가능  결혼하지마라,0
3371,그럼 다른 대기업들은 학벌로 일단 자르는건가? 건동홍급 어문계열은 대기업 서류 광탈이냐? 아님 기회는 주냐?,0
3372,중대 수학과면 자대 중에서도 ㄹㅇ 하위권 아님?아마 저 사람도 수능땐 수리가 1등급 못받았거나 다른 과목 낮아서점수 맞춰서 간거 아닐까?근데 뭐 따지고보면 중요한 건 가르치는 기술이 좋으면 되는거니까 노의미,0
3373,"저게 틀린말이 아니면 요기요에 손님한테 빙신새끼, 네 다른데서 시켜쳐먹으세요~ 이런식으로 사장이 써놓은 댓글도 틀린말이 아니지. 개인 사업자로서 욕먹을 말임. 괜히 대기업에서 손님한테 아가리 안터는줄아냐??",1
3374,저거 백퍼 늙어처먹은 좌파틀딱새끼가 승인하거임.밑에 일러스터 젊은새끼는 장난삼아 나라를 사랑하는 애국에서 애자에 아이디어 얻어애몽? ㅇㅈㄹ하는게 아니고 걍 밥먹고 편의점에서 초코에몽 사처먹다가시발 이딴 우유에도 도라에몽있는데... 저작권 쯤이야하고 만들었는거임.위대가리 새끼들은 애몽에 애자가 애국이랑 비슷하니밀어붙여하고 생각없이 사인한것임.이거아니면 문재인이 개새끼,1
3375,수학이라고 떠들래면 미분 적분정도는 메시드리볼해야하는거아이가,0
3376,정작 나는 물사러가기귀찮아서 브리타정수기 내려먹음,0
3377,디스크가 버텨줄때 오지게 벌어먹고 나와야함,1
3378, 장애인앞에서 와 나라면 자살했다 라고말하는거나 마찬가지지,0
3379,너는 어떻게 해야 구원 받는지 알고 있냐???,0
3380,개쉑기,1
3381,대중이 까는거 무적권 ㅇㅂ,0
3382,오늘가입한사람 아니라면 국게에서 적어도 한두번,0
3383,지가 패드립 치고 지가 열받고 ㅋㅋㅋㅋㅋ ,1
3384, 이유 파악도 못하고,0
3385,갈보,1
3386,요로콘데-!,0
3387,둘다 너네집보단 나은거 아니냐,0
3388,디져라,1
3389,sipal,1
3390,틀딱 씨발새끼들아 다꺼져라 냄새나니까,1
3391,사람을 얼굴로 평ㄱ,0
3392,사법부가 바뀌어야 함,0
3393,이거 아직도 당하는 븅신들이 있다는게 더신기,1
3394,러시아 맞음 서구권 백인 소아성애자커뮤니티한테 러시아는 ,0
3395,그런 정상적인 판단을 하는것,0
3396,후장에 자리 남을까? 생각하는건듯,0
3397,섯다,0
3398,개섹,1
3399,역시 대일본 역사가 최고로 재밌단 말이야.,0
3400,근데 장난 농담 때리노 ㅅㅂ련아 표현 같은 소리 하고 있다  표현은 ㅅㅂ 에로DVD 작가한테 가서 표현배우고,1
3401,씹덕후,1
3402,또라이,1
3403,꼭 공지영씨 같은 현모양처 만나길 빈다!,0
3404,ㅂㅅ,1
3405,솔까 까는건 좌좀이 제맛이지깔게 노무 많거든,1
3406,"웹사이트 접속만으로 아이디 비밀번호 유출 될 수 있다는 기사 내용 유럽의 특정 웹사이트들에 접속할 경우 아이디와 비밀번호가 유출된다. 또 다른 변종은 제목이 ‘Facebook updated account agreement’, ‘new account agreement’, ‘new Facebook account agreement’, ‘updated account agreement / 웹사이트 접속만으로 랜섬웨어에 감염 될 수 있다는 기사 내용 이번에 유포된 ‘랜섬웨어’ 버전은 해당 사이트에 접속만해도 감염될 가능성이 높아 피해가 클 것으로 전망되고 있다.",0
3407,허니버터 2,0
3408,주한미군도 잘 해결되기를 바래요,0
3409,육봉,1
3410,나머진 사각턱 유전자도 없고 쌍커플은 태어날때부터 있었음,0
3411,와 근데 너가 만약 짤같은 상황에서 성공하면 존나 꼴릴것같다.,1
3412,재밌게 건강하게 오래오래사세요~~,0
3413,ㅋㅋㅋㅋㅋ그래 차라리  뛰어가는거보다 자존심버리고 걸어가는게 서로 낫다,0
3414,실제로 성착취물 공유방을 텔레그램을 만들었다.,0
3415,캐스키,1
3416,검정 롱패딩보단 보기좋네,0
3417,근데 수학을 잘한다는게 수학 자체가 실제로 쓸수있다가 아니라 그런 쪽으로 지능이 좋다는거자나,0
3418,짱개 스파이 새끼들 목을 쳐야됨,1
3419,저놈의 30프로,0
3420,지랄하네 그러케 독재로 우덜란드 빼고는 다 빵에쳐노코선,1
3421,그냥 뒈져 ㅅ 벨 롬아.,1
3422,https://www.google.co.kr/amp/www.donga.com/news/amp/all/20190625/96168051/1선동이다 3심에서 유죄라고 다시 2심내려보냄,0
3423,개일베잡짓거리하다 니인생종친거다.,1
3424,저는 라면을 원래 좋아합니다,0
3425,그래도 찍어요,0
3426,그렇게 나라가 더욱 암울한 시대에 접어들죠..,0
3427,매운 거 위주로 먹으면 고수가 엄청 들어있지 않은 한 입맛 땡길 거임,0
3428,그런말 하는 너도 결국 당해보면 그딴소리 하지도 못할걸?,1
3429,의사의 사명감 물론 중요하지만 그것보다 먼저 의사들의 이윤이 추구되어야 한다.,0
3430,깨끗한 나라 제품‥‥ 잘가라~~~,0
3431,응 그래 저능아새끼야 그렇게 생각하고 살렴. 저능아는 저능아대로살아야지 시발 불끄는게 먼저지 병신새끼,1
3432,ㅋㅋㅋㅋ.오늘 처음으로 소리내서 웃었다.,0
3433,기술 진짜 끝내주네 하지만 난 100만원 정도 티비면 만족함,0
3434,신천지교인은 사비로 검사받게 해야합니다,0
3435,씸뇬,1
3436,방구냄새 맡고싶노,1
3437,우스갯소리로 많이하던거니까,0
3438,물도 꼭 챙겨마셔라 안마시면 죽더라 진짜임,0
3439,아헤가오,1
3440,ㅁㅈㅎ 짤이라도 캡쳐해놓고 지랄해라 쉐복하지말고,1
3441,살아가는데 아무런 지장도 없던데? 지랄하지말고 ㅁㅈㅎ나 쳐먹어라. 인생은 어차피 자기랑 맞는 사람과 살아가면 되는거다. ,1
3442, 머가리 터진새끼는 ㅁㅈㅎ,1
3443,우리때는 늙어도 일 가능하지 586들은 일 못 할듯 거기가 마지노선,0
3444,ㅇㄱㄹㅇ,0
3445,그럴때마다 행복하고 고마운일 생각하며 버텨야지ㅋㅋ,0
3446, 부착연결하는 손잡이 추가 구성하면 셀프컷 졸라 쉬워질거다,1
3447,한국 욕하는건 자연스러운 행위임,0
3448,네 와세다 다닌다,0
3449,저시끼들 본색을,1
3450,개십팔,1
3451,눈주변 시컴한 인간들치고 정상인 없더라 ,1
3452,둘다 해당되는거지 지금의 신생아들이 30년 정도뒤에 현 3~40대 틀딱이된 정년퇴임자들의 연기금을 매꿔줘야하는데 인구절벽 때문에 그럴 가능성이 거의 없고 그거에 맞춰 법 개정이 될거야 이대로 가면 답이 없음지금부터 아끼지 않으면 시간이 흐리면 흐를수록 더 좆됨,1
3453,씨벌련이 닉변하고 아침에 올린거 토씨하나 안바꾸고  그대-로 좆중복 조져버리네 씨벌련아 ㅁㅈㅎ,1
3454,신고함,0
3455,http://www.ilbe.com/view/11226094274,0
3456,흐아 ㅅㅂ 당장 흙동네 집알아보러간다,1
3457, 일본처럼 7인의 사무라이 나오고 할복하고 죽으라는것도 아니고 티케이 불출마 한명도 없는데 지지율 올라가길 바라로 총선 이기길 바라고,0
3458,이참에 수리도 좀 하고 공사도 좀 하고 이불도 좀 바꿔라.........,0
3459,근데 왜 아직까지 전광훈씨는 밖에서 설치는 거죠?,0
3460,조또,1
3461,ㄴㄴ 안정권이가 제대로 본게,0
3462,타겟시켜서 뒤진건 맞는데 난 솔샤르아래에서 반시즌을 말한거임,0
3463,성형했냐? 눈깔이 다르네,1
3464, 그거 지적하니 바로 글삭 ㅋㅋ,0
3465,호주 막힌지가 언제인데ㅋㅋ 타임머신타고 과거에서 돌아왔노?,0
3466,글삭하지마라 스크랩했다,0
3467,난 23살 98년생부터 저런생각햇다는거부터가 대단하다고 보는데?,0
3468,부작용인듯ㄷ,0
3469,딸  너무 걱정하지마~ 사춘기 지나고 철들면 알아서 잘 산다 ,0
3470,ㅅㅂㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
3471,근데 처녀도 아님,1
3472,예전에 이분도 넋놓고 있다가 후친 차량에 치였죠.  ㅋㅋ,0
3473,개노답 대구,1
3474,배승희라고 선동하던놈 나오시오. ,0
3475,씹물,1
3476,후장센세 ㅇㅂㄹ,0
3477,막줄ㅇㅂ,0
3478,젓까,1
3479,쉐,1
3480,제떨이도 해라네 제랑 해버려,0
3481,"정상이 어딨노 다 본성은 미친 마음이지.  근데 깨달은게 본성을 거스르고 반대로 나아가는게 인생인거 같더라. 본성대로 살면 좃같아짐,, 특히 같이 살면.., 여튼 감사.",1
3482,슬슬 기어들어 와도 해줄까 말까인데 별 거지국이 깝치고 앉았네,1
3483,제발좀 잡아가두자~~,0
3484,말 좆같이하는것보소 씨발련이 도끼로 대가리 두동강 내버릴까보다 십새꺄,1
3485,셀프 쓰레기통으로...,0
3486, 어휴    ㅋㅋㅋ,0
3487,에고... 세상이 어찌되려구... ㅠ.ㅠ,0
3488,그럼 비싸게줘야지 똑같이주냐?,0
3489,이승만 각하하고 무슨 상관이노ㅋㅋ,0
3490,설마 얘가 망할준 몰랏는데근데  존나 잘먹더니 언제부터 안먹고 뱉던디장에 문제온거아님??,1
3491,오이나 가지로 쑤시는건 여자애한테도 쉽게 가르칠 문제는 아닌데 동성애에 대해선 너무 나간 성교육이 아닌가 ,0
3492,시발 무려 이국종도 저딴 욕 들으면서 살아야되나진짜 인생 좆같네,1
3493,미친년이네 ㅋㅋㅋ 손봐라 ㅆㅂ 외모도 보이네 ,1
3494,야소 충때문에 이미지가 이렇지 사실 성능만 보면 사기챔임,0
3495,재건축하면서 바뀐거지.,0
3496,예전에 140 썩을놈의 새끼 생각나네요.,1
3497,한번이 어렵지 두번은 쉬운 거 아니냐? 배신자는 받으면 안 됨,0
3498,박근혜 안빠는데  보수통합 3원칙 인정함 ,1
3499," 당장 댓글만 봐도 김씨, 노가다, 맞는 말인데 뭐가 문제 라는 내용을 보는 게 힘든 것도 아니고",0
3500,쉽세,1
3501,글쎄 옆집 아저씨가 사줬나부지뭐,0
3502,못생겨도 자기관리를 하면 기존보다는 나아집니다.,0
3503,"이새키는 관상은 과학이 아닌것 같기도 한데ㅣ 하는짓이 503, 아베,나베 하는짓과 비슷함",1
3504,선교님 아바타하시라니까 왜 그러셨어요...,0
3505,씨벵,1
3506,운알못들아 저건 싼타페도 개씹새끼인거 맞아 ㅋㅋㅋ저딴 경우는 나만 살면 되지라는 희대의 개새끼임 ,1
3507,씨댕년,1
3508,그래도 보통 낙태시키지않냐? ㄷㄷㄷㄷ 그걸 책임지네 ㄷㄷㄷㄷㄷ,0
3509,그럼 살 어떻게 빼노,0
3510,실제로 김대중이라고 했는데 김재중이라고 한거라고 구라친거라는 생각은 안해봣노 ?,1
3511,이대일로 했어야지,0
3512,저거 일본돈때문이아니고 올린놈이 사기꾼새끼라 저렇게 적어놓은걸로 알고있다.,1
3513,강아지,1
3514,잘했노..,0
3515,아구창,1
3516,중국무술은 격투기가 아미고 합맞춰서 하는 공연임,0
3517,김선교 저 얼간이는 이제 팽당했으니 막가자는거지 아 한씨였구나 관심이 없어서.....,1
3518,빨갱아 북한 핵개발에 대해서 어떻게 생각해?,1
3519,  https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=014&aid=0004357560,0
3520,화정인가요?,0
3521,맞는말하면 논란이되는세상,0
3522,그러게 나처럼 우측에서 좌측으로 전향하면,0
3523,니미랄,1
3524,자연의 기본 섭리를 거스르지마,0
3525,샹년,1
3526,제발 집행유예로 끝나지말기를.,0
3527,귀차나,0
3528,저거 포스팅하는 사람이 소개할꺼 넣을꺼 없어서 잡아 넣은거지 뭔 국가기관드립이야.,0
3529,주둥이,1
3530,불륜정사갈보네이거로 바꿔라,1
3531,엌ㅋㅋㅋ 부들부들 발끈 미친년 ㅋㅋ,1
3532,알고 보니 진성 빨갱이였다더만,1
3533,"일베 노가더, 6,7등급 병신들 풀발기 하고 있음 ㅋㅋㅋ",1
3534,ㅆㅣ,1
3535,그리고 들은바로는 PE는 석사이상 되야한다고...,0
3536,부연이 일베하노?,1
3537,수음,1
3538,넘어가 지금의 대한민국 있는거고 ㅋㅋㅋㅋㅋ ,0
3539,공수처나 검경수사권조정이 진짜 개좆같은 거구나라고 이해하는 놈들많음.,1
3540,가서 뒤지는새끼들은 성매매 마약 돈 관련된애들이 뒤지는거다 도둑 강도들많은 터미널역부근빼고는 쟤네도 일반 관광객들은안건드려 그리고 뒤지거나 처맞는애들대부분이 필리핀애들 존나 무시해서 그런경우가많음쟤네가 비록 못살고 한국인보다 열등하고 똥송해도 자존심센애들많다못배운 한국새끼들이 가서 지가 뭐좀 되는줄알고 필리핀애들 무시하고 종부리듯이대하니까 역으로 쟤네도 이제 한국애들 무시하고 만만하게보는거임,1
3541,@한잔술에A ,0
3542,그때 갓 스무살이였음 한창연애할때가 고3이였고 왜 쩔쩔맨지 ㅇㅋ?,0
3543,무인도되뿌라,0
3544," 예수님이 왕국복음을 선포하셨을 때 유대인들이 예수님을 왕으로 추대했으면 곧바로 천년왕국이 들어섰겠지만, 그들은 예수님을 죽여버렸다.",0
3545,제사는 더 병신같은 유교에서 시키는건데,1
3546,리뷰 이천개 이상 달릴동안 4.8 유지해봤는데저런새끼들은 히스토리 들어가보면 어떤 가게든지 다 불만 투성이임다 버린데 개 병신같은 새끼 ㅋㅋㅋ병신 보존의 법칙이라 생각한다 물론 대응은 잘 해야지,1
3547,ㅅㅏ회복무요원.ㅠ,0
3548,코다리찜부터 퇴출해라 시발 비린내에 씹으면 고무줄 씹는느낌 좆같다짜장밥 나오면 썩은만두에 고무줄잡채도 좆같고사골곰탕 나오면 깡통한개에 고기 2~3점 나오는 마법의 국물도 좆같고,1
3549,쪽바리앞잡이야 너거나라가라 꺼져,1
3550,SUV는 얌체인거고 애초에 블박새끼가 안전거리 미확보에다가 앞차 갑자기 브레이크등 들어왔는데 넋놓고 있다가 박은거잖아고속도로에서는 앞차 브레이크 들어오면 이게 풀브레이크인지 그냥 병신처럼 밟은건지 구분이 안 가니 긴장타고 있어야 한다그래서 안전거리 100km/h당 100m가 필요한거고 블박새끼가 뒤집어 쓰는거임 이건,1
3551,"별거 아니긴,  전국 용접 하는 사람들  순식간에   대가리 나쁘고, 공부 못해서 어쩔 수 없이 용접하는 놈들로 만들었는데",0
3552,나중에 자식들이 다 알아볼텐데...,0
3553,대구 짐승들은 광주한테 열등감 있나 ㅎ ,1
3554,짱개 주작 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
3555,학자 출신들은 혼자서 연구나 해야지,0
3556,어휴 송장아 주책은...,0
3557,국산 클라우드 서비스는 절대로 사용하면 안 됨왜냐면 200% 들여다보기 때문임나는 메일 서비스 같은 것도 국산 절대로 안 씀,0
3558,기사글은 링크 없는게 국룰이냐? 기사글은 링크 없는게 학계의 정설이냐? 기사글은 링크 없는게 국룰이냐? 기사글은 링크 없는게 학계의 정설이냐? 기사글은 링크 없는게 국룰이냐? 기사글은 링크 없는게 학계의 정설이냐? 기사글은 링크 없는게 국룰이냐? 기사글은 링크 없는게 학계의 정설이냐? 기사글은 링크 없는게 국룰이냐? 기사글은 링크 없는게 학계의 정설이냐? 기사글은 링크 없는게 국룰이냐? 기사글은 링크 없는게 학계의 정설이냐? 기사글은 링크 없는게 국룰이냐? 기사글은 링크 없는게 학계의 정설이냐? 기사글은 링크 없는게 국룰이냐? 기사글은 링크 없는게 학계의 정설이냐? 기사글은 링크 없는게 국룰이냐? 기사글은 링크 없는게 학계의 정설이냐? 기사글은 링크 없는게 국룰이냐? 기사글은 링크 없는게 학계의 정설이냐? 기사글은 링크 없는게 국룰이냐? 기사글은 링크 없는게 학계의 정설이냐? 기사글은 링크 없는게 국룰이냐? 기사글은 링크 없는게 학계의 정설이냐? 기사글은 링크 없는게 국룰이냐? 기사글은 링크 없는게 학계의 정설이냐? 기사글은 링크 없는게 국룰이냐? 기사글은 링크 없는게 학계의 정설이냐? 기사글은 링크 없는게 국룰이냐? 기사글은 링크 없는게 학계의 정설이냐? 기사글은 링크 없는게 국룰이냐? 기사글은 링크 없는게 학계의 정설이냐? 기사글은 링크 없는게 국룰이냐? 기사글은 링크 없는게 학계의 정설이냐? 기사글은 링크 없는게 국룰이냐? 기사글은 링크 없는게 학계의 정설이냐? 기사글은 링크 없는게 국룰이냐? 기사글은 링크 없는게 학계의 정설이냐? 기사글은 링크 없는게 국룰이냐? 기사글은 링크 없는게 학계의 정설이냐? 기사글은 링크 없는게 국룰이냐? 기사글은 링크 없는게 학계의 정설이냐? 기사글은 링크 없는게 국룰이냐? 기사글은 링크 없는게 학계의 정설이냐? 기사글은 링크 없는게 국룰이냐? 기사글은 링크 없는게 학계의 정설이냐? 기사글은 링크 없는게 국룰이냐? 기사글은 링크 없는게 학계의 정설이냐? ,0
3559,나랑똑같노,0
3560,쓰레기들 정화좀 시킵시다.,1
3561,그랬던 일은 한 번도 없다. 뭐? 20년전의 한국이 어쨌다고?,0
3562,한국에서 땅값이 가장 비쌀 껄?,0
3563,ㅎㅎ,0
3564,그러니까 사기도박꾼들 임...짜고치는 대국민 사기고스톱.,0
3565,토니 스콧,0
3566,함께 별달러 가즈아~~ ^^,0
3567,뽀찌,1
3568,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 부끄럽네 씹쌍규 저희 지역굽니다. 아주 개새끼죠 ㅋㅋㅋㅋ,1
3569,맞는데? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
3570,저런집에 자식들 용돈 얼마주냐 그러면대부분이 50씩 쓴다 그럴거다 ㅋ가장이 미성년자 자식한테 용돈 빌려쓰는 괴상핫 집구석,0
3571,이소라야. ㅎㅎㅎ,0
3572,개쉬끼,1
3573,보수가 또 주작을... 주작이 없으면 일베를 못와요...문재인되고 부동산 시대 저물었다고 집팔았다네ㅋㅋ 망상해서 일베오니 좋겠네~ㅋㅋㅋ,1
3574,30인 규모 씹좆소가 더 맞을지도 ㅋㅋㅋ 일은 존나 빡세도 오히려 씹좆소들이 쓸데 없는 저런거는 없음 왜냐면 일이 존나 빡세고 작업 환경 열악해서,1
3575,조빠라,1
3576,일베와의 전쟁을 선포하겠습니다,0
3577,뒈져라,1
3578,강사도 누구나 함 주둥이만있으면,1
3579,서울대보낸 과외생만 몆명인데 호ㆍ후,0
3580,죽여버려야지 저런놈은,1
3581,어우 난 사더라도 짭팅어 살려고 했는데...ㄷㄷㄷ,0
3582,산성비가 뭐야 그럼?,0
3583,"홍은동, 홍제동도 요새 전반적으로 집값 많이 올랐다.",0
3584,선동질  당하는  니네가  불쌍타 ㅠ,1
3585,다른나라들....소강상태 들어갈때 일본 뒷북 칠거 같은데.....커밍쑤운~,0
3586,맞음,0
3587, 7년 대환란 ㅡ> 휴거 ㅡ> 오랜기간 방치된 지상 ㅡ> 진정한 천년왕국 건립 아니냐?,0
3588,애 재워놓고 갈정도는 아닌데,0
3589,방구석에서 귀찮으니 시켜먹어대는 새끼 늘어나니까 저런 병신같은데도 늘어나는듯ㅋㅋㅋㅋㅋ,1
3590,신천지 니들이 반격하면 할수록 ,0
3591,저말이 틀렸냐고 대깨문들아 팩트로맞으니 아프니,1
3592,좋같은,1
3593,니 꼬치다ㅋㅋㅋ,1
3594,김무성 옥새 파동 모르노?,0
3595,아주먼 옛날에 지구까지 왔던 외계인 이라면 ,0
3596,좃빠지게,1
3597,고1때부터일베했다 지금25다,0
3598,세꺄,1
3599,정자,1
3600,찾으러 갈때...,0
3601,좁년,1
3602,존나 웃기네 이거ㅋㅋㅋㅋㅋㅋㅋ,1
3603,"<포춘(Fortune)> 하면 가장 먼저 떠오르는 것은 매년 발표되는 ‘미국 상위 500대 기업’, ‘세계 상위 500대 기업’ 등의 기업 순위일 것이다 --------------> 벌레들 포춘 모를까봐 직접 복 붙 한다.. 정말 우리 나라는 최고다라는 말도 부족하다",1
3604,대체 인강 강사가 사회와 인류에 공헌하는게 뭘까....,0
3605,극혐이노 ㅅㅂ ㅋㅋㅋㅋ,1
3606,슨타크 되게 젊은 애인 줄 알았는데 나이 많은 아재더만 다시 봐도 정말 안타깝다 ... 재활은 잘 되었는지 초긍정 마인드 ㅆㅅㅌㅊ,0
3607, 그나마 잘나간다 하는 애들은 정자역 ㅋ,0
3608,내가 애기 키워줄수잇어.이혼해라,0
3609,어째 재네들은 제대로된 놈이하나없어,1
3610, 3.1운동 안 나서면 불을 질러? ㅋㅋㅋㅋㅋㅋㅋㅋ,0
3611,당사자들은 기분나빠할만한데 ,0
3612,쟤는 지도 왜 그러는지 모른거고,1
3613, 비싸면 시켜 먹지말고 가서 사가지 와...,0
3614,쌔캬,1
3615,정형돈 진짜 말랐네..,0
3616,더불어 다카끼마사오 해외계좌 찾으면 대박일텐데~,0
3617,근데 진짜 배달비 넘 아깝다 ㅆㅂ..처음부터 뜯어가는 거였음 몰라 안 받다가 어느순간 보니 서비스랍시고 처받고있네 개좆같은 새끼들2천원은 돈 아니냐? 조오오오오오오오옷나 아깝다 ㅅㅂ그래서 난 되도록이면 걸어갈 수 있는 거리 아님 치킨 안 시킴 ㅎㅅㅎ,1
3618,oral,1
3619,어허,0
3620,입안사정,1
3621,그렇다고 공부 못하는 년은 용접이나 해라 라고 말 할 정도로 비하받아야 할 이유도 없지,1
3622,제발 부탁인데 가만히  있길 ㅡㅡ,0
3623,존경 스롭넹 와우!!!!,0
3624,자기 목을 자기 손으로 칼로 썰어내는 판국인데 오천만 개돼지들은 뭘 모르는 거냐?,1
3625,그리고 너는 아다일 확률이 높다,1
3626,대한민국 최고!!!!,0
3627,좆같은 김치년들한테 선택받는게 메리트 있냐. 선택해도 거부다,1
3628,이번에 현대차 cvvd 엔진 열효율 40프로 잡았다더라대단한 결과물임,0
3629,18색,1
3630,4.기쁨조 운영,0
3631,지랄발광들을 해봐라.,1
3632,"인터넷, 유튜브의 발달이 양날의 검임 ㅋㅋ근데 그만큼 또 빨리 사그라들고윾튜브처럼 도리어 뻔뻔하게 행동하면 위기가 기회로 바뀜 ㅋㅋ참 한국사람들 다루기 어렵지",0
